,RMSE,MAE,MAPE,R2,MSE,ME
Linear Regression,44.078326944238924,35.45672328749492,2.40377370837838,0.8885681033474623,1942.898906203219,3.0559174689065167
Random Forest,53.21093186593138,42.225950785700206,2.8383800723458346,0.8376093395484974,2831.4032700407915,1.3680902427265234
Gradient Boosting,54.755381662712566,43.136817150309255,2.9055147576186386,0.8280457398977954,2998.1518210293198,3.2498941929305114
XGBoost,56.704362193166496,44.119635667190366,2.9312329926977196,0.8155866918636488,3215.38469173381,-11.23318800107743
